Salary,UndergradMajor,CompanySize,DevType,YearsCoding,LanguageWorkedWith,DatabaseWorkedWith,PlatformWorkedWith,FrameworkWorkedWith,Age,Country,Student,Currency,OpenSource
90000,"Another engineering discipline (ex. civil, electrical, mechanical)",20 to 99 employees,Back-end developer;Data or business analyst;Desktop or enterprise applications developer;DevOps specialist;Engineering manager;Full-stack developer;Product manager;System administrator,15-17 years,C#;Java;JavaScript;SQL;TypeScript;HTML;CSS;Bash/Shell,MongoDB;Redis;SQL Server;MySQL;Elasticsearch,Android;Azure;Linux;Windows Desktop or Server,Angular;Node.js,35 - 44 years old,Greece,No,Euros (€),No
NA,"Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Database administrator;Designer;Front-end developer;Full-stack developer;QA or test developer,15-17 years,JavaScript;PHP;SQL;HTML;CSS;Bash/Shell,MySQL,Linux;WordPress,Spark,NA,United States,No,NA,Yes
30000,"Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Data or business analyst;Data scientist or machine learning specialist,9-11 years,Java;JavaScript;PHP;R;SQL;HTML;CSS;Bash/Shell,Oracle;Apache Hive,NA,Hadoop;Spark,25 - 34 years old,Honduras,No,NA,No
NA,NA,100 to 499 employees,Full-stack developer,0-2 years,Java;JavaScript;SQL;HTML;CSS,SQL Server;MySQL,Windows Desktop or Server,Angular;Spring,NA,Sri Lanka,"Yes, part-time",U.S. dollars ($),Yes
NA,"Computer science, computer engineering, or software engineering",10 to 19 employees,Back-end developer;Designer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer;Mobile developer;Product manager,12-14 years,NA,NA,NA,NA,NA,India,No,NA,No
600000,"A business discipline (ex. accounting, finance, marketing)",100 to 499 employees,Data or business analyst;Educator or academic researcher;Student,3-5 years,R,NA,NA,NA,25 - 34 years old,India,No,Indian rupees (₹),Yes
NA,"Computer science, computer engineering, or software engineering","10,000 or more employees",Front-end developer,3-5 years,NA,NA,NA,NA,NA,Germany,No,NA,Yes
NA,"Computer science, computer engineering, or software engineering",500 to 999 employees,Back-end developer;DevOps specialist;Full-stack developer,9-11 years,C#;Go;JavaScript;Ruby,MongoDB;Redis;SQL Server,AWS;Windows Desktop or Server,NA,25 - 34 years old,United States,No,U.S. dollars ($),Yes
76000,"Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Desktop or enterprise applications developer;Embedded applications or devices developer,15-17 years,C++;JavaScript;Python;Ruby;Rust;Kotlin;HTML;CSS;Bash/Shell,MongoDB,Linux;Windows Desktop or Server,NA,25 - 34 years old,Germany,No,Euros (€),Yes
NA,"A natural science (ex. biology, chemistry, physics)","1,000 to 4,999 employees",NA,30 or more years,C;JavaScript;Python;HTML;CSS;Bash/Shell,NA,Linux,NA,45 - 54 years old,United States,No,NA,Yes
110000,"Computer science, computer engineering, or software engineering",20 to 99 employees,Mobile developer;Product manager,12-14 years,Java;Swift,PostgreSQL,Android;iOS;Firebase,NA,25 - 34 years old,United States,No,U.S. dollars ($),No
NA,NA,10 to 19 employees,Front-end developer;Full-stack developer;Mobile developer;Student,6-8 years,Assembly;C;C++;Java;JavaScript;Matlab;Python;HTML;CSS,MongoDB,Android;Arduino;AWS;Linux;WordPress,Node.js;React,18 - 24 years old,Canada,"Yes, full-time",Canadian dollars (C$),No
165000,"Computer science, computer engineering, or software engineering","10,000 or more employees",Desktop or enterprise applications developer;DevOps specialist;Mobile developer,21-23 years,JavaScript;Objective-C;PHP;SQL;Swift;Visual Basic 6;HTML;CSS;Bash/Shell,MySQL;PostgreSQL;Amazon DynamoDB;Amazon RDS/Aurora,Android;AWS;iOS;Raspberry Pi,Angular;Node.js,35 - 44 years old,United States,No,U.S. dollars ($),No
8000,"Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Desktop or enterprise applications developer,9-11 years,Java;SQL;HTML;CSS,MongoDB;Oracle,Linux;Windows Desktop or Server,Spring,25 - 34 years old,Turkey,No,NA,Yes
2100,"Information systems, information technology, or system administration","10,000 or more employees",Full-stack developer;Mobile developer,9-11 years,Java;JavaScript;SQL;TypeScript;Delphi/Object Pascal;HTML;CSS,MongoDB;SQL Server,Android;IBM Cloud or Watson;iOS;Linux,Angular;Node.js;Cordova,NA,Brazil,NA,Brazilian reais (R$),No
115000,"Another engineering discipline (ex. civil, electrical, mechanical)",100 to 499 employees,Back-end developer;Desktop or enterprise applications developer;Embedded applications or devices developer;Engineering manager;Front-end developer;Full-stack developer,12-14 years,C;C++;C#;JavaScript;SQL;TypeScript;VB.NET;Visual Basic 6;CSS,"SQL Server;Microsoft Azure (Tables, CosmosDB, SQL, etc)",NA,React,25 - 34 years old,United States,No,U.S. dollars ($),Yes
490000,Web development or web design,"1,000 to 4,999 employees",Full-stack developer;Mobile developer;System administrator,3-5 years,Java;JavaScript;Python;SQL;HTML;CSS,SQLite,Android,NA,18 - 24 years old,Hungary,No,NA,No
50000,"Another engineering discipline (ex. civil, electrical, mechanical)",20 to 99 employees,Back-end developer;Embedded applications or devices developer;Front-end developer;QA or test developer,6-8 years,C;C++;Python;Bash/Shell,NA,Arduino;ESP8266;Linux;Raspberry Pi,NA,25 - 34 years old,Canada,No,Canadian dollars (C$),No
70000,"A social science (ex. anthropology, psychology, political science)",10 to 19 employees,Full-stack developer,9-11 years,JavaScript;PHP;HTML;CSS,MySQL,Mac OS;WordPress,Node.js,45 - 54 years old,United States,No,U.S. dollars ($),Yes
1200000,Mathematics or statistics,"1,000 to 4,999 employees",Data or business analyst;Data scientist or machine learning specialist,6-8 years,C#;Python;R,SQL Server;Amazon DynamoDB,AWS;Azure,Angular;Hadoop;Node.js,25 - 34 years old,Denmark,No,Danish krone (kr),Yes
100000,"Another engineering discipline (ex. civil, electrical, mechanical)",500 to 999 employees,Full-stack developer;QA or test developer,15-17 years,Ruby;SQL;HTML;CSS,SQL Server;PostgreSQL;SQLite;Oracle,NA,NA,25 - 34 years old,United States,No,U.S. dollars ($),Yes
52500,"Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer,15-17 years,C#;Java;Ruby;HTML;CSS,SQL Server,Windows Desktop or Server,Node.js,35 - 44 years old,Sweden,No,Swedish kroner (SEK),No
33500,NA,20 to 99 employees,Back-end developer;Front-end developer;Full-stack developer,9-11 years,JavaScript;SQL;HTML;CSS;Bash/Shell,MongoDB;MySQL;MariaDB,Google Cloud Platform/App Engine;Linux,Node.js;React,18 - 24 years old,United Kingdom,No,British pounds sterling (£),Yes
110000,"Computer science, computer engineering, or software engineering",100 to 499 employees,DevOps specialist,6-8 years,Go;JavaScript;Python;SQL;HTML;CSS;Bash/Shell,Redis;MySQL;SQLite,Linux,Django,25 - 34 years old,Canada,No,Canadian dollars (C$),No
NA,NA,20 to 99 employees,Front-end developer;Game or graphics developer,9-11 years,JavaScript;HTML;CSS,NA,WordPress,NA,NA,India,No,Indian rupees (₹),No
NA,"Computer science, computer engineering, or software engineering",10 to 19 employees,Full-stack developer,6-8 years,Java;SQL,PostgreSQL,Android;WordPress;Firebase,NA,NA,Brazil,"Yes, part-time",NA,No
80000,"Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Desktop or enterprise applications developer;QA or test developer,6-8 years,C++;C#;VB.NET,NA,Windows Desktop or Server,NA,NA,United States,No,U.S. dollars ($),Yes
90000,"Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Database administrator;Front-end developer;Full-stack developer,6-8 years,C;C++;C#;Java;JavaScript;Matlab;Objective-C;PHP;SQL;Swift;TypeScript;Delphi/Object Pascal;HTML;CSS,MongoDB;SQL Server;MySQL;PostgreSQL;Apache HBase,Android;iOS;Linux;Mac OS;Windows Desktop or Server;Windows Phone;Firebase,Angular;.NET Core;Node.js;React;Xamarin,25 - 34 years old,Russian Federation,No,Russian rubles (₽),Yes
2000,"Computer science, computer engineering, or software engineering",500 to 999 employees,Back-end developer;Database administrator;Full-stack developer,3-5 years,Groovy;Java;HTML;Bash/Shell,MySQL;PostgreSQL,Linux;Mac OS,Spring,25 - 34 years old,Serbia,No,Euros (€),No
28000,"Fine arts or performing arts (ex. graphic design, music, studio art)",500 to 999 employees,Database administrator;DevOps specialist;System administrator,3-5 years,C#;SQL;VBA;VB.NET;Visual Basic 6,SQL Server;MySQL,Azure;Windows Desktop or Server,.NET Core,18 - 24 years old,United Kingdom,No,British pounds sterling (£),No
1390,NA,100 to 499 employees,Database administrator;System administrator,6-8 years,C;C++;JavaScript;PHP;SQL;VB.NET;HTML;CSS,SQL Server;MySQL,Windows Desktop or Server,NA,18 - 24 years old,Italy,No,Euros (€),No
120000,"Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer,15-17 years,C#;Scala;SQL;Bash/Shell,SQL Server;Oracle;Apache HBase;Apache Hive;Elasticsearch,NA,.NET Core;Hadoop;Spark,35 - 44 years old,Switzerland,No,Swiss francs,No
60000,NA,100 to 499 employees,Embedded applications or devices developer,18-20 years,C;C++;Java;JavaScript;Python;Bash/Shell,NA,Linux;Raspberry Pi,NA,25 - 34 years old,Germany,No,Euros (€),Yes
12000,"Computer science, computer engineering, or software engineering",10 to 19 employees,Back-end developer,3-5 years,CoffeeScript;JavaScript;Ruby;SQL;HTML;CSS,MySQL;PostgreSQL,Linux;Mac OS,NA,NA,Mexico,No,Mexican pesos (MXN$),No
6400,"Computer science, computer engineering, or software engineering",20 to 99 employees,Front-end developer;Full-stack developer,9-11 years,JavaScript;HTML;CSS;Bash/Shell,NA,NA,Angular;Node.js,25 - 34 years old,Argentina,"Yes, full-time",U.S. dollars ($),Yes
NA,"Computer science, computer engineering, or software engineering","10,000 or more employees",Front-end developer,3-5 years,NA,NA,NA,NA,NA,United States,No,NA,No
5000,"Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Front-end developer,0-2 years,Java;SQL;VB.NET;HTML;CSS,SQLite;Oracle,Linux,Spring,18 - 24 years old,Mexico,No,Mexican pesos (MXN$),No
NA,"Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer,0-2 years,C;JavaScript;Python;SQL;HTML;CSS,PostgreSQL,Linux,NA,18 - 24 years old,India,No,Indian rupees (₹),Yes
120000,Web development or web design,20 to 99 employees,Back-end developer;Database administrator;Full-stack developer,3-5 years,JavaScript;PHP;Python;SQL;HTML;CSS,MongoDB;Redis;MySQL;PostgreSQL;Apache Hive;Memcached;Neo4j;Elasticsearch,Linux,Hadoop;Node.js,25 - 34 years old,Pakistan,"Yes, full-time",NA,Yes
NA,"Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer;Mobile developer,18-20 years,NA,NA,NA,NA,NA,Spain,"Yes, part-time",Euros (€),No
5000,"Another engineering discipline (ex. civil, electrical, mechanical)","1,000 to 4,999 employees",Back-end developer;Designer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer,3-5 years,Java;JavaScript;HTML;CSS,Cassandra;SQL Server;MySQL;PostgreSQL;Oracle,Windows Desktop or Server,NA,25 - 34 years old,Singapore,No,Singapore dollars (S$),No
NA,"Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Front-end developer;Full-stack developer,3-5 years,C#;JavaScript;VB.NET;Visual Basic 6;HTML,IBM Db2,Mainframe,.NET Core,NA,United States,No,U.S. dollars ($),No
NA,"Computer science, computer engineering, or software engineering",100 to 499 employees,Full-stack developer,6-8 years,C#;Go;JavaScript;PHP;Python,MySQL;Elasticsearch,AWS;Linux;Mac OS;Firebase,.NET Core;Django,NA,Pakistan,No,NA,Yes
85000,"Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Database administrator;DevOps specialist;Front-end developer;Full-stack developer;Mobile developer,9-11 years,C#;JavaScript;SQL;TypeScript;HTML;CSS,"Redis;SQL Server;PostgreSQL;Oracle;Microsoft Azure (Tables, CosmosDB, SQL, etc)",Android;iOS;Windows Desktop or Server,Angular;.NET Core;Node.js;Cordova,25 - 34 years old,United States,No,U.S. dollars ($),Yes
95000,"Another engineering discipline (ex. civil, electrical, mechanical)",Fewer than 10 employees,Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Front-end developer;Full-stack developer;System administrator,6-8 years,JavaScript;Matlab;Python;SQL;HTML;CSS;Bash/Shell,MongoDB;PostgreSQL,Linux;Raspberry Pi;Windows Desktop or Server,Django,25 - 34 years old,Australia,No,Australian dollars (A$),Yes
NA,NA,100 to 499 employees,Back-end developer;Front-end developer;Full-stack developer;Mobile developer,3-5 years,Java;JavaScript;PHP;TypeScript;Kotlin;HTML;CSS,MongoDB;MySQL;SQLite;Amazon DynamoDB;Elasticsearch,Amazon Echo;Android;AWS;iOS;Serverless;Firebase,Angular;Node.js;React,NA,India,No,NA,Yes
NA,"Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Front-end developer;Full-stack developer;QA or test developer,12-14 years,JavaScript;PHP;Python;SQL;HTML;CSS,MySQL,WordPress,NA,25 - 34 years old,Germany,No,Euros (€),No
NA,"Computer science, computer engineering, or software engineering","5,000 to 9,999 employees",DevOps specialist,3-5 years,Groovy;Java;JavaScript;PHP;SQL;CSS;Bash/Shell,MongoDB;SQL Server;MySQL,AWS;Heroku;Firebase,Angular;Node.js;Spring,25 - 34 years old,United States,No,U.S. dollars ($),No
2700,"Computer science, computer engineering, or software engineering",Fewer than 10 employees,Back-end developer;DevOps specialist;Full-stack developer,6-8 years,Assembly;C#;Haskell;Java;JavaScript;Objective-C;Perl;PHP;Python;Ruby;SQL;HTML;CSS;Bash/Shell,MongoDB;MySQL;PostgreSQL;SQLite;Memcached;Elasticsearch,Drupal;Heroku;Linux;Mac OS;Raspberry Pi;WordPress,Django;Node.js,25 - 34 years old,Netherlands,No,Euros (€),Yes
20000,"Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Front-end developer;Full-stack developer,3-5 years,C#;JavaScript;SQL;HTML;CSS,Cassandra;SQL Server,NA,Node.js,25 - 34 years old,Pakistan,No,Indian rupees (₹),No
NA,NA,"1,000 to 4,999 employees",Back-end developer;Data or business analyst;Database administrator,3-5 years,C#;Java;SQL;Bash/Shell,SQL Server,Linux;Windows Desktop or Server,.NET Core,18 - 24 years old,Germany,"Yes, part-time",Euros (€),No
2340,"Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Database administrator;Front-end developer;Full-stack developer;QA or test developer;System administrator,6-8 years,Python;HTML;CSS;Bash/Shell,PostgreSQL,Linux,Django,25 - 34 years old,France,No,Euros (€),Yes
50000,"Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer;Mobile developer,6-8 years,C#;Java;JavaScript;Objective-C;Swift;HTML;CSS,SQL Server;MySQL;SQLite,Android;AWS;iOS,.NET Core;Xamarin,25 - 34 years old,United States,No,U.S. dollars ($),Yes
NA,"Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Full-stack developer,24-26 years,NA,NA,NA,NA,NA,Germany,No,Euros (€),Yes
100000,NA,20 to 99 employees,Back-end developer;Data or business analyst;Database administrator;DevOps specialist;Front-end developer,21-23 years,JavaScript;PHP;SQL;HTML;CSS;Bash/Shell,SQL Server;MySQL;PostgreSQL;Memcached,Heroku;Linux;Mac OS;Windows Desktop or Server,Node.js,35 - 44 years old,Lithuania,No,Euros (€),No
NA,"Computer science, computer engineering, or software engineering",100 to 499 employees,Mobile developer,3-5 years,NA,NA,NA,NA,NA,Pakistan,No,NA,No
NA,"Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Database administrator;Full-stack developer;System administrator,3-5 years,C;JavaScript;SQL;HTML;CSS;Bash/Shell,MongoDB;SQL Server;MySQL;Oracle;Amazon RDS/Aurora,Android;iOS;Linux;WordPress,.NET Core;Node.js,NA,India,No,Indian rupees (₹),No
2800,"Computer science, computer engineering, or software engineering",Fewer than 10 employees,Back-end developer;Data or business analyst;Desktop or enterprise applications developer;DevOps specialist,18-20 years,C#;JavaScript;SQL;HTML,"SQL Server;Microsoft Azure (Tables, CosmosDB, SQL, etc)",Azure;Windows Desktop or Server,NA,35 - 44 years old,Estonia,No,Euros (€),Yes
NA,"Information systems, information technology, or system administration",20 to 99 employees,Back-end developer,6-8 years,NA,NA,NA,NA,NA,Israel,No,NA,No
NA,"Computer science, computer engineering, or software engineering","10,000 or more employees",Data or business analyst,30 or more years,Assembly;C;C++;C#;Clojure;F#;Go;Java;Lua;R;Scala;SQL;Swift;Bash/Shell,SQL Server;Oracle,Apple Watch or Apple TV;IBM Cloud or Watson;iOS;Linux;Mac OS;Windows Desktop or Server,.NET Core;Xamarin,45 - 54 years old,Canada,No,Canadian dollars (C$),No
39000,"Information systems, information technology, or system administration",500 to 999 employees,Student;System administrator,15-17 years,C++;Perl;Python;HTML;CSS;Bash/Shell,SQL Server;MySQL;PostgreSQL;SQLite;MariaDB,Android;AWS;Azure;Linux;Raspberry Pi;Windows Desktop or Server,.NET Core,25 - 34 years old,United States,"Yes, full-time",U.S. dollars ($),Yes
55000,"Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer,15-17 years,JavaScript;PHP;SQL;HTML;CSS;Bash/Shell,Redis;MySQL;SQLite;Amazon RDS/Aurora,Android;AWS;Firebase,Node.js;React,25 - 34 years old,Sweden,No,Swedish kroner (SEK),Yes
NA,"Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Front-end developer;Full-stack developer;Mobile developer,30 or more years,C#;JavaScript;Swift;TypeScript;HTML;CSS,"MongoDB;SQL Server;PostgreSQL;SQLite;Microsoft Azure (Tables, CosmosDB, SQL, etc);Google Cloud Storage",Heroku;Mac OS;Firebase,Angular;.NET Core;Node.js,45 - 54 years old,United States,No,U.S. dollars ($),Yes
85000,"Computer science, computer engineering, or software engineering",20 to 99 employees,Full-stack developer,9-11 years,C#;JavaScript;SQL;HTML;CSS,"SQL Server;Microsoft Azure (Tables, CosmosDB, SQL, etc)",Azure,.NET Core;React,25 - 34 years old,United States,No,U.S. dollars ($),No
160000,"Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Back-end developer;DevOps specialist;Front-end developer;Full-stack developer,12-14 years,C#;JavaScript;Ruby;Scala;SQL;HTML;CSS;Bash/Shell,Cassandra;Redis;PostgreSQL;SQLite;Elasticsearch,AWS;Linux;Mac OS;Salesforce,.NET Core;React,25 - 34 years old,South Africa,No,South African rands (R),No
19500,NA,"10,000 or more employees",Back-end developer;QA or test developer;Student,3-5 years,Assembly;C;C#;Java;SQL,NA,Arduino;Windows Desktop or Server,.NET Core,18 - 24 years old,United Kingdom,"Yes, full-time",British pounds sterling (£),No
16000,NA,10 to 19 employees,DevOps specialist;Full-stack developer;QA or test developer;Student,3-5 years,Go;JavaScript;Python;TypeScript;HTML;CSS,MongoDB;Redis;MySQL;PostgreSQL;Amazon DynamoDB,AWS;Google Cloud Platform/App Engine;Google Home;Heroku;Linux;Serverless,Node.js;React,18 - 24 years old,India,"Yes, full-time",Indian rupees (₹),No
NA,"Computer science, computer engineering, or software engineering","5,000 to 9,999 employees",Back-end developer;Full-stack developer,18-20 years,C#;JavaScript;SQL;HTML;CSS,SQL Server,Windows Desktop or Server,.NET Core,25 - 34 years old,Philippines,No,NA,No
78000,"Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Data scientist or machine learning specialist,6-8 years,Go;Groovy;Java;Python;Scala;Bash/Shell,Cassandra;Elasticsearch,Google Cloud Platform/App Engine;Linux;Mac OS,Spark;TensorFlow,25 - 34 years old,United States,No,U.S. dollars ($),No
35000,"Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Database administrator;DevOps specialist;Full-stack developer;System administrator,9-11 years,Assembly;C;C++;C#;Java;JavaScript;PHP;Python;SQL;HTML;CSS;Bash/Shell,"SQL Server;MySQL;PostgreSQL;Microsoft Azure (Tables, CosmosDB, SQL, etc)",Android;Arduino;AWS;Azure;Linux;Mac OS;Raspberry Pi;Windows Desktop or Server;WordPress,.NET Core;Django;Hadoop,25 - 34 years old,Italy,No,Euros (€),Yes
90000,"Computer science, computer engineering, or software engineering",100 to 499 employees,Full-stack developer;Mobile developer,6-8 years,Java;JavaScript;Python;SQL;Swift;HTML;CSS,MySQL;SQLite,Android;AWS;iOS,Angular;Django,25 - 34 years old,United States,No,U.S. dollars ($),No
125000,"Computer science, computer engineering, or software engineering","10,000 or more employees",Mobile developer,3-5 years,Objective-C;Swift,NA,Amazon Echo;Apple Watch or Apple TV;iOS,NA,35 - 44 years old,United States,No,U.S. dollars ($),No
33000,"Computer science, computer engineering, or software engineering",Fewer than 10 employees,Back-end developer;Mobile developer,6-8 years,Java;Ruby,MySQL;PostgreSQL;SQLite,Android,NA,25 - 34 years old,United Kingdom,No,British pounds sterling (£),No
NA,"Computer science, computer engineering, or software engineering",20 to 99 employees,Front-end developer;Full-stack developer;Mobile developer,3-5 years,Java;JavaScript;PHP;SQL,MySQL;SQLite;Google Cloud Storage,Android;AWS;Firebase,NA,25 - 34 years old,India,No,Indian rupees (₹),Yes
NA,NA,20 to 99 employees,QA or test developer,3-5 years,JavaScript;PHP;SQL;Swift;Bash/Shell,MongoDB;MySQL;MariaDB;Amazon DynamoDB,Drupal;iOS,Node.js,NA,United States,No,NA,No
NA,"Information systems, information technology, or system administration","10,000 or more employees",Database administrator;Full-stack developer;Mobile developer;Student,6-8 years,Assembly;C;C++;C#;Erlang;Go;Groovy;Haskell;Java;JavaScript;Julia;PHP;Python;R;Ruby;Scala;SQL;Swift;TypeScript;Kotlin;HTML;CSS;Bash/Shell,MongoDB;SQL Server;MySQL,Android;Firebase,Angular;Django;Node.js,NA,Poland,"Yes, full-time",NA,No
650000,Web development or web design,"1,000 to 4,999 employees",Back-end developer;Front-end developer;Full-stack developer;Mobile developer,0-2 years,NA,NA,NA,NA,NA,India,"Yes, full-time",Indian rupees (₹),No
NA,"Computer science, computer engineering, or software engineering",100 to 499 employees,Mobile developer,6-8 years,Java;SQL,SQL Server;SQLite;Google Cloud Storage,Android;Google Cloud Platform/App Engine;Firebase,Spark,25 - 34 years old,India,"Yes, full-time",Indian rupees (₹),Yes
1058000,"Computer science, computer engineering, or software engineering","5,000 to 9,999 employees",Back-end developer;Desktop or enterprise applications developer;Full-stack developer,6-8 years,C#,SQL Server,Windows Desktop or Server,NA,25 - 34 years old,India,No,Indian rupees (₹),No
NA,"Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Desktop or enterprise applications developer;QA or test developer,9-11 years,Go;Groovy;Java;Lua;Scala;Kotlin;Bash/Shell,"MongoDB;SQL Server;PostgreSQL;Apache HBase;Microsoft Azure (Tables, CosmosDB, SQL, etc)",Azure;Linux;Mac OS;Windows Desktop or Server,Node.js;Spark;Spring;TensorFlow,25 - 34 years old,United Kingdom,"Yes, full-time",British pounds sterling (£),Yes
NA,NA,"1,000 to 4,999 employees",Back-end developer;Student,6-8 years,C++;C#;JavaScript;PHP;SQL;HTML;CSS;Bash/Shell,SQL Server;MySQL;SQLite;Oracle;Elasticsearch,Amazon Echo;Arduino;Linux;Mac OS;Raspberry Pi;WordPress,Node.js,NA,Germany,"Yes, full-time",NA,Yes
142000,"Computer science, computer engineering, or software engineering","5,000 to 9,999 employees",Back-end developer,6-8 years,Clojure;Java;JavaScript;SQL;Visual Basic 6;CSS;Bash/Shell,Cassandra;Redis;MySQL;PostgreSQL;SQLite;Oracle;Apache HBase;Amazon Redshift;Elasticsearch,Linux;Mac OS,Hadoop;Spark,35 - 44 years old,United States,No,U.S. dollars ($),Yes
NA,NA,20 to 99 employees,Mobile developer,9-11 years,C;C++;Java;SQL;Kotlin;HTML;CSS,SQL Server;MySQL,Android;AWS;Google Cloud Platform/App Engine;Firebase,NA,25 - 34 years old,India,No,Indian rupees (₹),Yes
NA,"Computer science, computer engineering, or software engineering","10,000 or more employees",NA,0-2 years,NA,NA,NA,NA,NA,India,No,NA,No
18000,"Computer science, computer engineering, or software engineering",500 to 999 employees,Full-stack developer,6-8 years,JavaScript;PHP;SQL;TypeScript;HTML;CSS,MongoDB;MySQL,Linux,Angular;Node.js,18 - 24 years old,India,"Yes, part-time",Indian rupees (₹),Yes
1300,"Computer science, computer engineering, or software engineering",Fewer than 10 employees,Back-end developer;Desktop or enterprise applications developer;Engineering manager;Mobile developer,12-14 years,NA,NA,NA,NA,NA,Italy,No,Euros (€),No
NA,"Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Data scientist or machine learning specialist;Front-end developer;Full-stack developer;Mobile developer,3-5 years,JavaScript;Swift;HTML;CSS,MongoDB;Oracle,iOS;Firebase,NA,18 - 24 years old,India,No,NA,Yes
NA,"Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Data or business analyst;Designer;Desktop or enterprise applications developer,6-8 years,C#;Java;JavaScript;SQL;Visual Basic 6;HTML;CSS,SQL Server;MySQL;SQLite;IBM Db2,Windows Desktop or Server;WordPress,.NET Core;Hadoop,NA,Sri Lanka,"Yes, part-time",NA,No
9401,NA,100 to 499 employees,Back-end developer;Designer;Front-end developer;Full-stack developer,12-14 years,C#;JavaScript;PHP;SQL;TypeScript;HTML;CSS,SQL Server;MySQL,Linux;Windows Desktop or Server;WordPress,.NET Core;Node.js,25 - 34 years old,Romania,No,NA,Yes
NA,NA,100 to 499 employees,Back-end developer;Front-end developer;Mobile developer;Student,3-5 years,Java;JavaScript;SQL;HTML;CSS;Bash/Shell,PostgreSQL,Android,Angular;Spring,NA,Romania,"Yes, full-time",Euros (€),No
92000,"Computer science, computer engineering, or software engineering",100 to 499 employees,Engineering manager;Full-stack developer,12-14 years,C#;Java;JavaScript;SQL;HTML;CSS,Redis;SQL Server;MySQL;Memcached;Elasticsearch,Azure,Angular;.NET Core;Node.js,25 - 34 years old,United States,No,U.S. dollars ($),No
4000,"Information systems, information technology, or system administration",Fewer than 10 employees,Full-stack developer,6-8 years,JavaScript;PHP;SQL;TypeScript;HTML;CSS;Bash/Shell,SQL Server;MySQL;SQLite;Google Cloud Storage,Android;Google Cloud Platform/App Engine;WordPress;Firebase,Node.js;Cordova,25 - 34 years old,Morocco,No,NA,Yes
25000,"Computer science, computer engineering, or software engineering",10 to 19 employees,Front-end developer;Full-stack developer;Mobile developer,9-11 years,Java;JavaScript;Kotlin;HTML;CSS,MongoDB,Android;Firebase,Angular,25 - 34 years old,Italy,No,Euros (€),No
5800,"Computer science, computer engineering, or software engineering",500 to 999 employees,Full-stack developer,15-17 years,C#;JavaScript;SQL;Delphi/Object Pascal,Redis;SQL Server;SQLite;Oracle,Windows Desktop or Server,NA,35 - 44 years old,Bulgaria,No,NA,Yes
120000,"Computer science, computer engineering, or software engineering",100 to 499 employees,Mobile developer,9-11 years,Java;PHP;Python,NA,Android;AWS;WordPress,Django,25 - 34 years old,Canada,No,Canadian dollars (C$),No
12000,"Another engineering discipline (ex. civil, electrical, mechanical)",Fewer than 10 employees,"C-suite executive (CEO, CTO, etc.);Desktop or enterprise applications developer",15-17 years,C++;C#,NA,Windows Desktop or Server,.NET Core,35 - 44 years old,Malaysia,No,NA,No
NA,"Computer science, computer engineering, or software engineering",Fewer than 10 employees,Full-stack developer,0-2 years,C;C++;Go;Groovy;Java;JavaScript;PHP;Python;SQL;HTML;CSS;Bash/Shell,MySQL;PostgreSQL;MariaDB,Linux,Node.js,NA,Bangladesh,No,NA,Yes
NA,"Computer science, computer engineering, or software engineering",20 to 99 employees,Mobile developer,6-8 years,Objective-C;PHP;Swift,MySQL,iOS;Firebase,NA,25 - 34 years old,India,"Yes, full-time",Indian rupees (₹),Yes
