Salary,UndergradMajor,CompanySize,DevType,YearsCoding,LanguageWorkedWith,DatabaseWorkedWith,PlatformWorkedWith,FrameworkWorkedWith,Age,Country,Student,Currency,OpenSource
NA,NA,Fewer than 10 employees,Back-end developer;Database administrator;Front-end developer;Full-stack developer,3-5 years,NA,NA,NA,NA,NA,Sweden,No,NA,Yes
4600,"Computer science, computer engineering, or software engineering",100 to 499 employees,Mobile developer,6-8 years,C#;Objective-C;Swift;HTML;CSS;Bash/Shell,NA,iOS,NA,25 - 34 years old,Germany,No,Euros (€),Yes
3000,"Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Full-stack developer,12-14 years,Go;JavaScript;Python;SQL;HTML;Bash/Shell,MongoDB,Linux,NA,25 - 34 years old,Brazil,No,U.S. dollars ($),Yes
58000,"Information systems, information technology, or system administration",100 to 499 employees,Front-end developer;Full-stack developer,0-2 years,C#;JavaScript;PHP;Python;SQL;Swift;HTML;CSS,SQL Server;MySQL,Amazon Echo;Apple Watch or Apple TV;Azure;iOS;SharePoint;Firebase,Angular;.NET Core,25 - 34 years old,United States,No,U.S. dollars ($),No
63000,"Computer science, computer engineering, or software engineering","10,000 or more employees",Front-end developer,9-11 years,JavaScript;Perl;Python;HTML;CSS,NA,NA,Node.js;React,25 - 34 years old,Netherlands,No,Euros (€),Yes
40000,"Another engineering discipline (ex. civil, electrical, mechanical)",100 to 499 employees,Full-stack developer,0-2 years,JavaScript;HTML;CSS,MongoDB,NA,Angular;Node.js;React,18 - 24 years old,Pakistan,No,NA,Yes
NA,"Computer science, computer engineering, or software engineering",500 to 999 employees,Back-end developer,27-29 years,Assembly;C;Groovy;Java;Ruby;Scala,Amazon DynamoDB;Apache HBase;Apache Hive,AWS;Azure;Linux,Hadoop;Spark,45 - 54 years old,United Kingdom,No,British pounds sterling (£),Yes
NA,Mathematics or statistics,100 to 499 employees,Mobile developer,15-17 years,Objective-C;Swift,NA,iOS,NA,NA,Finland,No,NA,No
20000,"Computer science, computer engineering, or software engineering",10 to 19 employees,Back-end developer;Desktop or enterprise applications developer;Engineering manager,18-20 years,C;Java;JavaScript;SQL;HTML;CSS;Bash/Shell,"SQL Server;MySQL;Microsoft Azure (Tables, CosmosDB, SQL, etc)",NA,NA,35 - 44 years old,Greece,No,Euros (€),No
135000,Mathematics or statistics,20 to 99 employees,Back-end developer;Mobile developer,30 or more years,C;C++;C#;Go;JavaScript;Objective-C;Python;Ruby;Scala;SQL;Swift;HTML;CSS;Bash/Shell,SQL Server;MySQL;PostgreSQL,Arduino;AWS;Azure;ESP8266;Google Cloud Platform/App Engine;iOS;Mac OS;Serverless,Django,35 - 44 years old,United States,No,U.S. dollars ($),Yes
168000,"Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Engineering manager;Front-end developer;Full-stack developer,15-17 years,Groovy;Java;JavaScript;Python;Ruby;TypeScript;Kotlin;HTML;CSS;Bash/Shell,Redis;PostgreSQL;Amazon DynamoDB;Amazon RDS/Aurora;Elasticsearch,AWS;Linux,Angular;Django;Node.js;React,25 - 34 years old,United States,No,U.S. dollars ($),Yes
